ts_code,trade_date,open,high,low,close,volume,amount,pct_chg,adjust_type
000425.SZ,2024-12-11,7.9,8.13,7.86,7.99,1109708,0,,qfq
000425.SZ,2024-12-12,8.01,8.04,7.86,8.03,666717,0,0.5006257822277815,qfq
000425.SZ,2024-12-13,7.98,8.13,7.95,8.01,1356963,0,-0.24906600249064992,qfq
000425.SZ,2024-12-16,7.99,8.13,7.71,7.77,1151916,0,-2.9962546816479474,qfq
000425.SZ,2024-12-17,7.74,7.98,7.71,7.88,891292,0,1.4157014157014203,qfq
000425.SZ,2024-12-18,7.88,7.92,7.67,7.71,743567,0,-2.1573604060913687,qfq
000425.SZ,2024-12-19,7.65,7.79,7.54,7.74,714961,0,0.3891050583657574,qfq
000425.SZ,2024-12-20,7.7,7.76,7.21,7.27,2248223,0,-6.072351421188637,qfq
000425.SZ,2024-12-23,7.26,7.64,7.25,7.4,1398298,0,1.7881705639614998,qfq
000425.SZ,2024-12-24,7.38,7.56,7.37,7.54,786966,0,1.8918918918918948,qfq
000425.SZ,2024-12-25,7.52,7.57,7.46,7.53,465789,0,-0.13262599469495706,qfq
000425.SZ,2024-12-26,7.52,7.56,7.39,7.52,593430,0,-0.13280212483400833,qfq
000425.SZ,2024-12-27,7.52,7.57,7.42,7.5,498710,0,-0.26595744680850686,qfq
000425.SZ,2024-12-30,7.48,7.7,7.46,7.62,749415,0,1.6000000000000014,qfq
000425.SZ,2024-12-31,7.59,7.87,7.59,7.76,1023764,0,1.8372703412073532,qfq
000425.SZ,2025-01-02,7.74,7.81,7.47,7.53,1069615,0,-2.9639175257731853,qfq
000425.SZ,2025-01-03,7.53,7.73,7.5,7.52,729755,0,-0.13280212483400833,qfq
000425.SZ,2025-01-06,7.53,7.55,7.28,7.41,858081,0,-1.4627659574467988,qfq
000425.SZ,2025-01-07,7.39,7.44,7.21,7.28,761626,0,-1.754385964912275,qfq
000425.SZ,2025-01-08,7.25,7.31,6.96,7.26,1063672,0,-0.27472527472528485,qfq
000425.SZ,2025-01-09,7.23,7.28,7.0,7.13,810866,0,-1.7906336088154284,qfq
000425.SZ,2025-01-10,7.13,7.28,7.1,7.13,618694,0,0.0,qfq
000425.SZ,2025-01-13,7.08,7.25,7.01,7.07,557759,0,-0.8415147265077083,qfq
000425.SZ,2025-01-14,7.09,7.43,7.04,7.4,761083,0,4.667609618104662,qfq
000425.SZ,2025-01-15,7.42,7.42,7.25,7.28,419340,0,-1.6216216216216273,qfq
000425.SZ,2025-01-16,7.35,7.52,7.29,7.41,452118,0,1.7857142857142794,qfq
000425.SZ,2025-01-17,7.38,7.56,7.33,7.5,464328,0,1.2145748987854255,qfq
000425.SZ,2025-01-20,7.52,7.7,7.51,7.54,466794,0,0.5333333333333412,qfq
000425.SZ,2025-01-21,7.56,7.6,7.42,7.57,351927,0,0.3978779840848823,qfq
000425.SZ,2025-01-22,7.52,7.56,7.46,7.51,338207,0,-0.7926023778071389,qfq
000425.SZ,2025-01-23,7.56,7.62,7.41,7.5,599862,0,-0.13315579227696217,qfq
000425.SZ,2025-01-24,7.48,7.57,7.39,7.43,554909,0,-0.9333333333333416,qfq
000425.SZ,2025-01-27,7.46,7.53,7.39,7.47,572666,0,0.5383580080753791,qfq
000425.SZ,2025-02-05,7.48,7.52,7.23,7.26,584868,0,-2.8112449799196804,qfq
000425.SZ,2025-02-06,7.25,7.27,7.12,7.2,653606,0,-0.8264462809917328,qfq
000425.SZ,2025-02-07,7.18,7.51,7.11,7.51,1188825,0,4.30555555555554,qfq
000425.SZ,2025-02-10,7.48,7.78,7.46,7.69,866771,0,2.3968042609853635,qfq
000425.SZ,2025-02-11,7.68,7.74,7.61,7.7,470503,0,0.13003901170349774,qfq
000425.SZ,2025-02-12,7.69,7.93,7.68,7.74,714058,0,0.5194805194805197,qfq
000425.SZ,2025-02-13,7.78,7.9,7.7,7.7,506715,0,-0.5167958656330796,qfq
000425.SZ,2025-02-14,7.72,7.86,7.6,7.83,826736,0,1.6883116883116944,qfq
000425.SZ,2025-02-17,7.88,8.05,7.78,7.98,1390150,0,1.9157088122605304,qfq
000425.SZ,2025-02-18,7.99,8.1,7.8,8.03,1216090,0,0.6265664160400863,qfq
000425.SZ,2025-02-19,7.96,8.39,7.96,8.36,1683022,0,4.109589041095885,qfq
000425.SZ,2025-02-20,8.33,8.35,8.17,8.22,595877,0,-1.6746411483253398,qfq
000425.SZ,2025-02-21,8.14,8.25,8.04,8.25,856981,0,0.36496350364962904,qfq
000425.SZ,2025-02-24,8.29,8.52,8.23,8.46,1147150,0,2.545454545454562,qfq
000425.SZ,2025-02-25,8.44,8.71,8.35,8.62,1297913,0,1.8912529550827228,qfq
000425.SZ,2025-02-26,8.62,8.86,8.53,8.55,1033250,0,-0.8120649651972012,qfq
000425.SZ,2025-02-27,8.54,8.77,8.54,8.72,999557,0,1.9883040935672502,qfq
000425.SZ,2025-02-28,8.64,8.85,8.59,8.64,1595625,0,-0.9174311926605561,qfq
000425.SZ,2025-03-03,8.63,9.01,8.63,8.66,1491078,0,0.23148148148146586,qfq
000425.SZ,2025-03-04,8.61,8.7,8.53,8.68,812117,0,0.2309468822170757,qfq
000425.SZ,2025-03-05,8.93,9.4,8.93,9.04,1920403,0,4.147465437788012,qfq
000425.SZ,2025-03-06,9.04,9.16,8.9,9.09,1135771,0,0.5530973451327581,qfq
000425.SZ,2025-03-07,9.08,9.41,9.05,9.33,1393964,0,2.64026402640265,qfq
000425.SZ,2025-03-10,9.34,9.48,9.27,9.37,1358153,0,0.4287245444801524,qfq
000425.SZ,2025-03-11,9.3,9.48,9.2,9.37,1044816,0,0.0,qfq
000425.SZ,2025-03-12,9.33,9.34,9.13,9.22,730249,0,-1.6008537886872842,qfq
000425.SZ,2025-03-13,9.22,9.23,8.96,9.03,909712,0,-2.0607375271149864,qfq
