ts_code,trade_date,open,high,low,close,volume,amount,pct_chg
600207.SH,2024-08-12,3.75,3.78,3.65,3.66,100818,37220471.0,-1.35
600207.SH,2024-08-13,3.64,3.7,3.61,3.7,102563,37594630.0,1.09
600207.SH,2024-08-14,3.7,3.76,3.69,3.69,93048,34577145.0,-0.27
600207.SH,2024-08-15,3.67,3.75,3.65,3.72,120762,44731408.0,0.81
600207.SH,2024-08-16,3.72,3.73,3.64,3.65,107739,39591235.0,-1.88
600207.SH,2024-08-19,3.65,3.65,3.57,3.59,81552,29405656.0,-1.64
600207.SH,2024-08-20,3.58,3.62,3.52,3.53,83408,29667459.0,-1.67
600207.SH,2024-08-21,3.52,3.56,3.5,3.51,52635,18561254.0,-0.57
600207.SH,2024-08-22,3.5,3.52,3.42,3.43,76947,26625515.0,-2.28
600207.SH,2024-08-23,3.45,3.45,3.36,3.39,71420,24263605.0,-1.17
600207.SH,2024-08-26,3.39,3.48,3.38,3.45,67023,23105463.0,1.77
600207.SH,2024-08-27,3.43,3.47,3.35,3.38,99241,33738793.0,-2.03
600207.SH,2024-08-28,3.37,3.42,3.34,3.4,60835,20612575.0,0.59
600207.SH,2024-08-29,3.38,3.52,3.37,3.49,96080,33319801.0,2.65
600207.SH,2024-08-30,3.49,3.59,3.46,3.54,121255,42872531.0,1.43
600207.SH,2024-09-02,3.54,3.59,3.5,3.5,109143,38680388.0,-1.13
600207.SH,2024-09-03,3.52,3.85,3.47,3.73,408690,152099605.0,6.57
600207.SH,2024-09-04,3.62,3.72,3.61,3.62,251971,92123600.0,-2.95
600207.SH,2024-09-05,3.7,3.98,3.7,3.86,673997,264226822.0,6.63
600207.SH,2024-09-06,3.78,3.83,3.63,3.67,494305,183482512.0,-4.92
600207.SH,2024-09-09,3.62,3.68,3.57,3.62,177503,64226407.0,-1.36
600207.SH,2024-09-10,3.62,3.67,3.59,3.65,150288,54569340.0,0.83
600207.SH,2024-09-11,3.61,3.69,3.6,3.63,130726,47633806.0,-0.55
600207.SH,2024-09-12,3.62,3.78,3.61,3.67,203668,75336250.0,1.1
600207.SH,2024-09-13,3.76,3.91,3.69,3.82,416702,158084086.0,4.09
600207.SH,2024-09-18,3.73,3.75,3.62,3.66,240582,88387762.0,-4.19
600207.SH,2024-09-19,3.68,3.83,3.68,3.75,243844,91662138.0,2.46
600207.SH,2024-09-20,3.72,3.8,3.71,3.78,198125,74290221.0,0.8
600207.SH,2024-09-23,3.75,3.75,3.69,3.71,163889,60796999.0,-1.85
600207.SH,2024-09-24,3.68,3.94,3.68,3.9,408521,156977306.0,5.12
600207.SH,2024-09-25,3.95,4.07,3.86,4.02,510967,201023817.0,3.08
600207.SH,2024-09-26,3.98,4.05,3.9,4.05,423059,168847219.0,0.75
600207.SH,2024-09-27,4.06,4.24,4.04,4.19,360016,149443307.0,3.46
600207.SH,2024-09-30,4.33,4.59,4.19,4.59,729817,321593323.0,9.55
600207.SH,2024-10-08,5.04,5.05,4.55,4.84,740299,355156902.0,5.45
600207.SH,2024-10-09,4.72,4.72,4.36,4.36,473889,212469999.0,-9.92
600207.SH,2024-10-10,4.33,4.49,4.2,4.38,309042,134965033.0,0.46
600207.SH,2024-10-11,4.4,4.48,4.22,4.26,252030,109007137.0,-2.74
600207.SH,2024-10-14,4.29,4.66,4.2,4.49,378029,167057271.0,5.4
600207.SH,2024-10-15,4.46,4.71,4.37,4.51,434912,197357094.0,0.45
600207.SH,2024-10-16,4.44,4.49,4.35,4.44,263904,116717208.0,-1.55
600207.SH,2024-10-17,4.59,4.75,4.52,4.52,447929,206818172.0,1.8
600207.SH,2024-10-18,4.45,4.68,4.43,4.6,375963,171977249.0,1.77
600207.SH,2024-10-21,4.59,4.76,4.58,4.67,408804,191209864.0,1.52
600207.SH,2024-10-22,4.62,4.76,4.56,4.75,340371,158827318.0,1.71
600207.SH,2024-10-23,4.75,4.9,4.67,4.8,536913,257291185.0,1.05
600207.SH,2024-10-24,4.72,4.76,4.62,4.67,277446,130095717.0,-2.71
600207.SH,2024-10-25,4.82,5.08,4.76,4.95,628268,310537988.0,6.0
600207.SH,2024-10-28,5.45,5.45,5.45,5.45,148909,81155378.0,10.1
600207.SH,2024-10-29,6.0,6.0,5.22,5.36,1443020,832703843.0,-1.65
600207.SH,2024-10-30,5.44,5.64,5.2,5.49,923006,504660413.0,2.43
600207.SH,2024-10-31,5.6,5.8,5.45,5.6,844905,474696553.0,2.0
600207.SH,2024-11-01,5.46,5.46,5.04,5.04,633141,327201567.0,-10.0
600207.SH,2024-11-04,4.88,5.08,4.83,5.07,348869,174837529.0,0.6
600207.SH,2024-11-05,5.04,5.1,5.01,5.07,419302,212144046.0,0.0
600207.SH,2024-11-06,5.03,5.12,4.98,5.0,378749,191162240.0,-1.38
600207.SH,2024-11-07,4.95,5.13,4.85,5.13,437071,220427289.0,2.6
600207.SH,2024-11-08,5.1,5.19,5.06,5.08,341000,174468230.0,-0.97
600207.SH,2024-11-11,5.06,5.59,5.04,5.59,615161,331918057.0,10.04
600207.SH,2024-11-12,5.6,5.67,5.37,5.44,756594,416044040.0,-2.68
600207.SH,2024-11-13,5.45,5.53,5.24,5.36,350185,187925396.0,-1.47
600207.SH,2024-11-14,5.32,5.4,5.15,5.18,243146,127741129.0,-3.36
600207.SH,2024-11-15,5.16,5.35,5.16,5.18,332107,174325453.0,0.0
600207.SH,2024-11-18,5.18,5.22,4.74,4.78,437177,213517616.0,-7.72
600207.SH,2024-11-19,4.76,5.0,4.73,4.95,272594,132307598.0,3.56
600207.SH,2024-11-20,4.95,5.01,4.86,4.98,210286,103933564.0,0.61
600207.SH,2024-11-21,5.09,5.15,4.9,4.99,238948,119860371.0,0.2
600207.SH,2024-11-22,5.0,5.04,4.73,4.75,229944,112361149.0,-4.81
600207.SH,2024-11-25,4.74,4.95,4.68,4.9,202259,97099519.0,3.16
600207.SH,2024-11-26,4.87,5.11,4.82,5.0,340799,169339398.0,2.04
600207.SH,2024-11-27,4.98,4.98,4.78,4.9,270384,130956933.0,-2.0
600207.SH,2024-11-28,4.9,5.17,4.89,4.98,367828,184623783.0,1.63
600207.SH,2024-11-29,4.92,5.07,4.84,4.99,271242,134263114.0,0.2
600207.SH,2024-12-02,4.99,5.14,4.92,5.13,246180,124696846.0,2.81
600207.SH,2024-12-03,5.14,5.17,5.04,5.17,229128,117434195.0,0.78
600207.SH,2024-12-04,5.15,5.26,5.04,5.08,233507,120271243.0,-1.74
