entry_period,exit_period,sharpe_ratio,annualized_return,max_drawdown,win_rate,trade_count,stop_loss_count
10,5,0.701,21.37,-29.42,50.0,10,8
20,5,0.322,7.44,-32.5,50.0,8,7
20,10,0.281,6.16,-33.98,50.0,8,8
20,15,0.281,6.16,-33.98,50.0,8,8
30,5,0.397,9.76,-30.05,66.7,6,6
30,10,0.397,9.76,-30.05,66.7,6,6
30,15,0.397,9.76,-30.05,66.7,6,6
30,20,0.397,9.76,-30.05,66.7,6,6
40,5,0.102,1.03,-35.57,50.0,6,6
40,10,0.102,1.03,-35.57,50.0,6,6
40,15,0.102,1.03,-35.57,50.0,6,6
40,20,0.102,1.03,-35.57,50.0,6,6
55,5,-0.144,-3.62,-31.58,50.0,4,4
55,10,-0.144,-3.62,-31.58,50.0,4,4
55,15,-0.144,-3.62,-31.58,50.0,4,4
55,20,-0.144,-3.62,-31.58,50.0,4,4
60,5,-0.144,-3.66,-31.58,50.0,4,4
60,10,-0.144,-3.66,-31.58,50.0,4,4
60,15,-0.144,-3.66,-31.58,50.0,4,4
60,20,-0.144,-3.66,-31.58,50.0,4,4
