entry_period,exit_period,sharpe_ratio,annualized_return,max_drawdown,win_rate,trade_count,stop_loss_count
10,5,0.998,39.4,-26.47,38.5,13,6
20,5,0.655,20.19,-40.99,27.3,11,5
20,10,0.547,16.19,-47.87,40.0,10,10
20,15,0.547,16.19,-47.87,40.0,10,10
30,5,0.877,25.68,-25.32,33.3,6,5
30,10,0.843,24.59,-25.32,33.3,6,6
30,15,0.843,24.59,-25.32,33.3,6,6
30,20,0.843,24.59,-25.32,33.3,6,6
40,5,1.331,40.03,-14.61,50.0,4,3
40,10,1.29,38.79,-14.61,50.0,4,4
40,15,1.29,38.79,-14.61,50.0,4,4
40,20,1.29,38.79,-14.61,50.0,4,4
55,5,1.357,41.68,-14.61,50.0,4,3
55,10,1.315,40.38,-14.61,50.0,4,4
55,15,1.315,40.38,-14.61,50.0,4,4
55,20,1.315,40.38,-14.61,50.0,4,4
60,5,1.366,42.26,-14.61,50.0,4,3
60,10,1.324,40.94,-14.61,50.0,4,4
60,15,1.324,40.94,-14.61,50.0,4,4
60,20,1.324,40.94,-14.61,50.0,4,4
