entry_period,exit_period,sharpe_ratio,annualized_return,max_drawdown,win_rate,trade_count,stop_loss_count
10,5,-0.295,-5.53,-29.21,25.0,16,6
20,5,-0.213,-2.53,-25.43,30.0,10,5
20,10,-0.465,-6.56,-29.06,30.0,10,9
20,15,-0.66,-10.01,-33.83,30.0,10,10
30,5,0.137,2.99,-19.72,42.9,7,4
30,10,-0.1,-0.7,-23.63,42.9,7,7
30,15,-0.1,-0.7,-23.63,42.9,7,7
30,20,-0.1,-0.7,-23.63,42.9,7,7
40,5,0.124,2.81,-15.75,33.3,6,3
40,10,-0.134,-0.95,-19.84,33.3,6,6
40,15,-0.134,-0.95,-19.84,33.3,6,6
40,20,-0.134,-0.95,-19.84,33.3,6,6
55,5,-0.239,-1.19,-15.43,20.0,5,2
55,10,-0.555,-4.93,-20.83,20.0,5,5
55,15,-0.555,-4.93,-20.83,20.0,5,5
55,20,-0.555,-4.93,-20.83,20.0,5,5
60,5,-0.355,-2.42,-15.43,20.0,5,2
60,10,-0.67,-6.16,-20.83,20.0,5,5
60,15,-0.67,-6.16,-20.83,20.0,5,5
60,20,-0.67,-6.16,-20.83,20.0,5,5
