entry_period,exit_period,sharpe_ratio,annualized_return,max_drawdown,win_rate,trade_count,stop_loss_count
10,5,0.065,-2.0,-42.4,46.7,15,9
20,5,0.288,6.25,-22.83,55.6,9,7
20,10,0.274,5.72,-23.53,55.6,9,7
20,15,0.27,5.59,-23.7,55.6,9,8
30,5,-0.133,-5.98,-31.85,42.9,7,7
30,10,-0.133,-5.98,-31.85,42.9,7,7
30,15,-0.133,-5.98,-31.85,42.9,7,7
30,20,-0.133,-5.98,-31.85,42.9,7,7
40,5,-0.898,-21.03,-35.83,16.7,6,6
40,10,-0.898,-21.03,-35.83,16.7,6,6
40,15,-0.898,-21.03,-35.83,16.7,6,6
40,20,-0.898,-21.03,-35.83,16.7,6,6
55,5,-0.765,-17.58,-29.62,20.0,5,5
55,10,-0.765,-17.58,-29.62,20.0,5,5
55,15,-0.765,-17.58,-29.62,20.0,5,5
55,20,-0.765,-17.58,-29.62,20.0,5,5
60,5,-1.098,-22.35,-35.98,0.0,5,5
60,10,-1.098,-22.35,-35.98,0.0,5,5
60,15,-1.098,-22.35,-35.98,0.0,5,5
60,20,-1.098,-22.35,-35.98,0.0,5,5
